,PlayerID,SportsDataID,Status,TeamID,Team,Jersey,PositionCategory,Position,FirstName,LastName,Height,Weight,BirthDate,BirthCity,BirthState,BirthCountry,HighSchool,College,Salary,PhotoUrl,Experience,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,FantasyAlarmPlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,FanDuelName,DraftKingsName,YahooName,DepthChartPosition,DepthChartOrder,GlobalTeamID,FantasyDraftName,FantasyDraftPlayerID,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated
0,20000439,,Active,22,HOU,42.0,C,C,Nene,Hilario,83,250,1982-09-13T00:00:00,Sao Carlos,Brazil,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000439.png,16.0,f1b776e4-b59e-48c7-9e8a-272de4946b37,854.0,2254.0,200127.0,168013.0,542942.0,,Scrambled,Scrambled,,Scrambled,9512.0,168013.0,3605.0,Nene Hilario,Nene Hilario,Nene Hilario,C,1.0,20000022,Nene Hilario,168013.0,2686434.0,http://cdn.usatsimg.com/api/download/?imageID=11417992,http://cdn.usatsimg.com/api/download/?imageID=10773035,2018-10-11T15:27:01,2018-04-07T17:57:23
1,20000441,,Active,1,WAS,3.0,G,SG,Bradley,Beal,77,207,1993-06-28T00:00:00,St. Louis,Missouri,,,Florida,27093019.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000441.png,6.0,ff461754-ad20-4eeb-af02-2b46cc980b24,1966.0,3303.0,200464.0,606912.0,750970.0,3395.0,Scrambled,Scrambled,,Scrambled,15595.0,606912.0,5009.0,Brad Beal,Bradley Beal,Bradley Beal,SG,0.0,20000001,Bradley Beal,606912.0,2686906.0,http://cdn.usatsimg.com/api/download/?imageID=11452170,http://cdn.usatsimg.com/api/download/?imageID=10773216,2018-10-16T15:17:07,2018-04-07T18:26:20
2,20000442,,Active,1,WAS,2.0,G,PG,John,Wall,76,210,1990-09-06T00:00:00,Raleigh,North Carolina,,,Kentucky,38199000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000442.png,8.0,6769d1ca-0581-48b0-b487-b5c87b8f696e,1691.0,3097.0,200506.0,509456.0,745060.0,2771.0,Scrambled,Scrambled,2019-07-22T00:00:00,Scrambled,12332.0,509456.0,4716.0,John Wall,John Wall,John Wall,PG,1.0,20000001,John Wall,509456.0,2686946.0,http://cdn.usatsimg.com/api/download/?imageID=10773097,http://cdn.usatsimg.com/api/download/?imageID=10773097,2018-04-07T18:09:11,2018-04-07T18:09:11
3,20000443,,Active,11,CHI,22.0,F,SF,Otto,Porter,80,198,1993-06-03T00:00:00,St. Louis,Missouri,,,Georgetown,27250575.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000443.png,5.0,792fdc1e-e833-4777-a372-11e93e457480,2124.0,3435.0,200185.0,609256.0,750183.0,3614.0,Scrambled,Scrambled,,Scrambled,15628.0,609256.0,5154.0,Otto Porter,Otto Porter Jr.,Otto Porter Jr.,SF,0.0,20000011,Otto Porter Jr.,609256.0,2687341.0,http://cdn.usatsimg.com/api/download/?imageID=11452183,http://cdn.usatsimg.com/api/download/?imageID=10773231,2018-10-16T15:17:18,2018-04-07T18:28:17
4,20000452,,Active,8,BKN,17.0,G,SG,Garrett,Temple,78,195,1986-05-08T00:00:00,Baton Rouge,Louisiana,,,LSU,4767000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000452.png,8.0,ee2644c1-1260-4bf4-9c70-7c5b0cee4770,1671.0,3083.0,200453.0,263903.0,724387.0,3009.0,Scrambled,Scrambled,,Scrambled,11074.0,263903.0,4682.0,Garrett Temple,Garrett Temple,Garrett Temple,SG,1.0,20000008,Garrett Temple,263903.0,2686750.0,http://cdn.usatsimg.com/api/download/?imageID=10773479,http://cdn.usatsimg.com/api/download/?imageID=10773479,2018-04-07T18:52:25,2018-04-07T18:52:25
5,20000453,,Active,5,ORL,31.0,G,SG,Terrence,Ross,79,206,1991-02-05T00:00:00,Portland,Oregon,Oregon,,Washington,12500000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000453.png,6.0,b7d0fa52-b5ca-4465-9bbb-3ec9b6b7b536,1956.0,3313.0,200441.0,550049.0,749134.0,3354.0,Scrambled,Scrambled,,Scrambled,16405.0,550049.0,5014.0,Terrence Ross,Terrence Ross,Terrence Ross,SG,1.0,20000005,Terrence Ross,550049.0,2687069.0,http://cdn.usatsimg.com/api/download/?imageID=11507254,,2018-10-24T15:52:38,
6,20000455,,Active,21,MEM,17.0,C,C,Jonas,Valanciunas,84,265,1992-05-06T00:00:00,Utena,Lithuania,,,,16000000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000455.png,6.0,c8788ad2-89f7-4ec9-a22b-dcaf6190889b,1832.0,3190.0,200109.0,599780.0,749270.0,3093.0,Scrambled,Scrambled,,Scrambled,14503.0,599780.0,4886.0,Jonas Valanciunas,Jonas Valanciunas,Jonas Valanciunas,C,0.0,20000021,Jonas Valanciunas,599780.0,2686394.0,http://cdn.usatsimg.com/api/download/?imageID=11497979,http://cdn.usatsimg.com/api/download/?imageID=10773600,2018-10-22T18:50:40,2018-04-07T19:00:25
7,20000456,,Active,24,SA,10.0,G,SG,DeMar,DeRozan,79,220,1989-08-07T00:00:00,Compton,California,,,USC,27739975.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000456.png,9.0,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,1610.0,3019.0,200407.0,457594.0,740142.0,2064.0,Scrambled,Scrambled,,Scrambled,9714.0,457594.0,4614.0,DeMar DeRozan,DeMar DeRozan,DeMar DeRozan,SF,0.0,20000024,DeMar DeRozan,457594.0,2686467.0,http://cdn.usatsimg.com/api/download/?imageID=11995941,http://cdn.usatsimg.com/api/download/?imageID=11995941,2019-01-14T14:48:09,2019-01-14T14:48:09
8,20000457,,Active,10,TOR,7.0,G,PG,Kyle,Lowry,73,196,1986-03-25T00:00:00,Philadelphia,Pennsylvania,,,Villanova,34996296.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000457.png,12.0,8c090758-6baa-468d-82fd-d47e17d5091b,1269.0,2720.0,200521.0,266394.0,723046.0,1711.0,Scrambled,Scrambled,,Scrambled,9535.0,266394.0,4152.0,Kyle Lowry,Kyle Lowry,Kyle Lowry,PG,0.0,20000010,Kyle Lowry,266394.0,2687385.0,http://cdn.usatsimg.com/api/download/?imageID=11497981,,2018-10-22T18:50:42,
9,20000458,,Active,7,PHI,5.0,F,PF,Amir,Johnson,81,240,1987-05-01T00:00:00,Los Angeles,California,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000458.png,13.0,b6b33dc2-65be-4fe0-b153-47145c693df2,1179.0,2638.0,200327.0,292407.0,725652.0,1181.0,Scrambled,Scrambled,,Scrambled,9862.0,292407.0,3982.0,Amir Johnson,Amir Johnson,Amir Johnson,,,20000007,Amir Johnson,292407.0,2687552.0,http://cdn.usatsimg.com/api/download/?imageID=10773476,,2018-04-07T18:52:13,
